,Open,High,Low,Close,Adj Close,Volume
2021-05-17 09:30:00-04:00,246.5500030517578,246.58999633789062,244.0399932861328,245.1199951171875,245.1199951171875,4714083
2021-05-17 10:30:00-04:00,245.11000061035156,245.66000366210938,244.4219970703125,244.5399932861328,244.5399932861328,2814629
2021-05-17 11:30:00-04:00,244.55999755859375,244.72000122070312,244.0399932861328,244.3072052001953,244.3072052001953,2090620
2021-05-17 12:30:00-04:00,244.3000030517578,244.97999572753906,243.67999267578125,244.03909301757812,244.03909301757812,1737396
2021-05-17 13:30:00-04:00,244.02999877929688,244.19000244140625,243.52000427246094,243.9199981689453,243.9199981689453,2220815
2021-05-17 14:30:00-04:00,243.9199981689453,245.1300048828125,243.55999755859375,244.33999633789062,244.33999633789062,2998835
2021-05-17 15:30:00-04:00,244.33999633789062,245.22999572753906,244.1300048828125,245.17999267578125,245.17999267578125,2569126
2021-05-18 09:30:00-04:00,245.7899932861328,246.41000366210938,244.8699951171875,245.87539672851562,245.87539672851562,3658198
2021-05-18 10:30:00-04:00,245.8800048828125,246.1199951171875,245.4550018310547,245.531005859375,245.531005859375,2011561
2021-05-18 11:30:00-04:00,245.5399932861328,245.61000061035156,245.0,245.56689453125,245.56689453125,1563842
2021-05-18 12:30:00-04:00,245.57000732421875,245.94000244140625,245.5399932861328,245.9199981689453,245.9199981689453,1526702
2021-05-18 13:30:00-04:00,245.9199981689453,245.92999267578125,244.4499969482422,244.52999877929688,244.52999877929688,1870059
2021-05-18 14:30:00-04:00,244.52999877929688,244.63619995117188,243.77000427246094,244.50999450683594,244.50999450683594,2020943
2021-05-18 15:30:00-04:00,244.52000427246094,244.8699951171875,242.89999389648438,243.02999877929688,243.02999877929688,3298905
2021-05-19 09:30:00-04:00,239.125,241.50999450683594,239.11000061035156,241.22000122070312,241.22000122070312,6422629
2021-05-19 10:30:00-04:00,241.19000244140625,241.91000366210938,240.33999633789062,241.4199981689453,241.4199981689453,2791094
2021-05-19 11:30:00-04:00,241.39999389648438,241.9199981689453,240.82000732421875,241.7100067138672,241.7100067138672,1946937
2021-05-19 12:30:00-04:00,241.74000549316406,242.66000366210938,241.6300048828125,242.32000732421875,242.32000732421875,1932181
2021-05-19 13:30:00-04:00,242.3300018310547,242.7899932861328,240.4199981689453,242.7100067138672,242.7100067138672,2535348
2021-05-19 14:30:00-04:00,242.7100067138672,243.05999755859375,240.8699951171875,242.5,242.5,2538010
2021-05-19 15:30:00-04:00,242.50999450683594,243.22999572753906,241.10000610351562,243.13999938964844,243.13999938964844,2796200
